ISIN,Bond Code,Issuer,Bond Type,Issue Date,Latest Rating
CND10007C4N2,239983,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-22,---
CND10007C3L8,239982,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-22,---
CND10007C3M6,230028,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-22,---
CND10007C3B9,239981,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-15,---
CND10007C2Y3,239980,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-14,---
CND1000776R0,230027,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-14,---
CND1000776S8,239979,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-08,---
CND1000775V4,239978,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-06,---
CND1000774F0,239977,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-01,---
CND1000764D6,239976,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-01,---
CND100076488,239975,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-24,---
CND100076348,230026,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-24,---
CND1000762Z3,239974,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-17,---
CND100076280,239973,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-17,---
CND100074JJ4,230025,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-14,---
